"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"1","M. Power","Wigan Athletic","Wigan Athletic","English Championship","2022/23","RCMF","RDMF",NA,29,1000000,"30/06/2023",45,4454,1,1.63,3,7.65,10.71,50.75,"England","England","right",181,78,"no",5.09,4.36,57.87,1.07,43.4,0.18,0.24,0.06,2.38,3.13,0.69,8,0.16,0,0,2.32,0.02,0,0,0.03,0,0,32,0.65,25,3.125,0.06,2.93,44.83,0.3,26.67,2.61,46.51,0.38,1.01,62,3.56,46.02,0.46,1.15,0.44,34.27,0.4,0.89,47.06,82.05,17.28,70.99,7.7,96.85,15.62,86.03,38.27,89.6,6.02,51.68,20.32,40.33,0.15,1.23,0.02,0.02,0.59,37.93,0.32,10.08,68.54,3.64,49.44,1.09,29.63,0.63,1.25,9.86,83.2,0,NA,0,NA,0,0,0,0,NA,NA,0.61,NA,NA,1.78,0.18,22.22,1.68,1,100,"CM2",0.6262,0.666666666666667,0.223787,38.61273,2.523132,8.20352,0.1625,1.313519,1.799616,45.00677362227
"2","S. Field","Queens Park Rangers","Queens Park Rangers","English Championship","2022/23","DMF","LCMF","LDMF",24,2200000,"30/06/2024",45,4326,2,1.75,1,0.74,19.26,55.62,"England","England","left",191,90,"no",12.52,7.51,65.93,4.45,54.21,0.77,1.08,0.6,6.8,9.55,1.06,12,0.25,0,0,0.67,0.04,2,0.04,0.04,0,0,16,0.33,25,12.5,0.02,0.44,42.86,0.27,53.85,0.15,28.57,0.04,0.5,75,2.95,51.41,0.62,0.33,0.06,22.76,0.23,1.23,35.58,82.98,13.07,67.36,4.91,95.34,12.15,92.98,31.41,88.15,3.72,44.13,18.6,38.13,0.02,0.31,0,0.02,0.08,25,0.04,6.18,63.97,0.94,35.56,0.44,28.57,0.21,0.17,5.49,68.94,0,NA,0,NA,0,0,0,0,NA,NA,0.5,NA,NA,0,0,0,0,0,0,"CDM",0.375,1,0.02,29.524284,4.951343,3.784806,0.0825,0.188584,0.334264,8.18858289456
"3","J. Hendrick","Reading","Reading","English Championship","2022/23","RCMF","DMF","LCMF",31,2500000,"30/06/2024",44,4290,4,3.72,1,1.74,9.65,45.43,"Republic of Ireland","Republic of Ireland","right",185,79,"yes",4.64,2.73,56.15,1.8,46.51,0.17,0.2,0.29,2.94,3.52,0.42,3,0.06,0,0,0.92,0.08,4,0.08,0.08,0,0,44,0.92,22.73,9.091,0.02,0.4,36.84,0.1,20,0.29,42.86,0.04,0.99,46.81,3.08,36.05,0.71,0.48,0.19,14.39,0.23,0.36,24.02,79.91,7.93,61.11,4.87,95.69,7.2,90.09,21.46,84.36,2.16,43.69,17.47,33.13,0.04,0.31,0,0,0.25,41.67,0.13,3.5,55.09,0.94,46.67,0.38,22.22,0.4,0.13,3.34,60.38,0,NA,0,NA,0,0,0,0,NA,NA,0.46,NA,NA,0.02,0,0,0,0,0,"CM2",0.463419,1,0.104175,19.194382,1.532895,2.016692,0.209116,0.14736,0.438698,12.886527191204
"4","V. Gyökeres","Coventry City","Coventry City","English Championship","2022/23","CF",NA,NA,24,8000000,"30/06/2024",45,4288,21,21.51,8,6.87,37.17,31.62,"Sweden","Sweden, Hungary","right",187,86,"no",2.98,2.69,65.63,4.62,29.55,0,0,0.15,1.22,1.57,1.2,7,0.15,0,0,6.25,0.44,18,0.38,0.45,2,0.04,135,2.83,40.74,15.556,0.17,1.26,31.67,0.57,25.93,0.65,35.48,0.13,9.05,48.72,22.71,31.98,5.21,3.11,1.32,12.19,1.78,1.7,19.44,72.89,3.55,69.82,5.16,83.74,5.35,70.2,18.05,76.16,0.23,18.18,14.24,10.35,0.14,1.45,0.02,0,0.44,66.67,0.8,1.2,66.67,1.55,64.86,0.23,36.36,1.66,0.44,1.68,75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0.04,0.04,0,0,4,75,"CF",4.40916,0.977777777777778,0.293348,14.169816,1.765447,1.26,1.152942,0.399042,1.00533,45.06513932156
"5","J. McClean","Wigan Athletic","Wigan Athletic","English Championship","2022/23","LWB","LB","LAMF",34,800000,"30/06/2023",45,4285,3,3.68,6,7.69,20.16,51.25,"Northern Ireland","Northern Ireland, Republic of Ireland","left",180,70,"no",9.81,8.32,57.32,3.15,49.33,0.44,0.58,0.15,4.6,6.07,1.37,9,0.19,0,0,3.97,0.06,3,0.06,0.08,1,0.02,53,1.11,16.98,5.66,0.13,4.24,38.61,3.95,38.83,0.27,38.46,0.48,3.02,70.14,5.65,49.81,1.16,1.32,0.48,22.07,1.32,0.44,33.23,72.06,10.21,58.44,6.83,95.08,10.59,71.83,23.96,85.1,5.23,38.55,21.39,37.72,0.16,1.13,0.02,0,0.06,33.33,0.42,3.72,48.02,3.72,46.33,0.65,16.13,0.36,1.64,7.18,66.67,0,NA,0,NA,0,0,0,0,NA,NA,0.23,NA,NA,0.57,0.08,25,2.21,0,0,"WB",2.118228,0.75,0.019998,23.945538,4.769024,4.786906,0.188478,1.637064,1.723476,45.781174429112
"6","J. Cooper","Millwall","Millwall","English Championship","2022/23","LCB","CB",NA,28,3500000,"30/06/2023",45,4274,3,3.43,4,1.05,20.03,57.41,"England","England","left",193,85,"no",7.98,5.03,66.11,9.35,60.81,0.13,0.17,0.48,4.53,6.03,1.12,12,0.25,0,0,0.4,0.06,3,0.06,0.07,2,0.04,28,0.59,32.14,10.714,0.08,0.13,33.33,0.11,40,0.02,0,0,0.21,70,0.82,43.59,1.09,0.36,0.02,18.09,0.19,0.38,31.29,84.79,13.58,74.88,1.96,96.77,13.48,94.22,25.5,90.09,5.66,62.08,24.19,40.71,0.02,0.19,0.02,0.02,0.02,100,0.13,3.94,70.59,0.4,42.11,0.25,50,0.38,0.04,6.61,74.2,0,NA,0,NA,0,0,0,0,NA,NA,1.41,NA,NA,0,0,0,0,0,0,"CB",0.147,0.857142857142857,0.02,26.530791,3.325333,4.90462,0.189626,0.043329,0.16844,8.024313101058
"7","Z. Vyner","Bristol City","Bristol City","English Championship","2022/23","RCB",NA,NA,25,2200000,"30/06/2023",44,4237,1,1.43,2,0.97,14.15,58.56,"England","England","right",178,68,"no",9.83,6.27,70.51,3.91,47.83,0.53,0.72,0.57,4.89,6.6,0.59,8,0.17,0,0,0.51,0.02,1,0.02,0.03,1,0.02,13,0.28,30.77,7.692,0.04,0.4,26.32,0,0,0.4,26.32,0.04,0.4,68.42,1.08,39.22,0.34,0.76,0.17,31.39,0.36,0.19,47.64,82.66,21.37,70.08,3.63,94.74,18.67,93.29,39.02,90.04,8.22,50.39,23.19,42.71,0.02,0.13,0,0,0.13,33.33,0.06,7.54,53.8,1.27,35,0.85,27.5,0.36,0.13,9.77,72.17,0,NA,0,NA,0,0,0,0,NA,NA,2.21,NA,NA,0,0,0,0,0,0,"CB",0.27368,0.666666666666667,0.043329,39.379224,4.420977,7.051009,0.086156,0.10528,0.4445,11.597540079768
"8","A. Trusty","Birmingham City","Birmingham City","English Championship","2022/23","LCB","LB",NA,24,9000000,"31/05/2023",43,4235,4,2.97,2,1.03,20.02,58.17,"United States","United States","left",191,78,"yes",11.26,7.95,68.72,6.27,59.32,0.06,0.08,0.49,5.74,7.45,1.06,8,0.17,0,0,0.81,0.09,4,0.09,0.06,2,0.04,16,0.34,37.5,25,0.04,0.62,34.48,0.6,35.71,0.02,0,0.09,0.77,58.33,2.49,44.44,0.74,0.72,0.11,14.9,0.57,0.6,27.84,77.25,13.49,67.24,3.55,95.81,7.59,87.96,23.23,83.71,4.04,46.84,21.08,35.84,0.02,0.19,0,0,0.04,50,0.04,4.31,65.02,0.74,40,0.17,50,0.28,0.23,6.27,62.03,0,NA,0,NA,0,0,0,0,NA,NA,1.34,NA,NA,0,0,0,0,0,0,"CB",0.449141,1.5,0.02,21.5064,5.46324,3.889281,0.1275,0.213776,0.296,6.610540882272
"9","M. Grimes","Swansea City","Swansea City","English Championship","2022/23","LCMF","DMF","RCMF",27,7000000,"30/06/2025",43,4232,1,1.41,5,3.12,12.06,49.21,"England","England","left",179,70,"no",6.61,4.61,65.44,2.02,29.47,0.28,0.48,0.23,3.32,5.77,0.55,8,0.17,0,0,1.04,0.02,1,0.02,0.03,0,0,27,0.57,25.93,3.704,0.11,0.85,42.5,0.55,42.31,0.26,41.67,0.17,0.62,58.62,2.89,42.65,0.26,1.83,0.38,68.29,0.09,0.68,84.3,92.1,23.22,82.78,12.95,97.54,31.6,95.29,79.09,95,4.4,48.79,16.66,38.56,0.07,0.74,0.04,0.02,0.62,27.59,0.3,12.46,81.4,2.49,47.01,1.62,22.37,0.79,0.36,10.14,81.13,0,NA,0,NA,0,0,0,0,NA,NA,0.62,NA,NA,0.15,0,0,0.7,0,0,"CM2",0.363444,0.666666666666667,0.171058,77.6403,3.016784,8.226582,0.147801,0.36125,1.170549,33.485550467958
"10","R. Wintle","Cardiff City","Cardiff City","English Championship","2022/23","DMF","RCMF","LCMF",25,3800000,"30/06/2024",44,4230,2,2.08,3,3.97,9.6,56.54,"England","England","right",180,64,"no",6.77,3.83,72.78,1.64,48.05,0.21,0.28,0.4,3.77,5.01,0.43,6,0.13,0,0,0.68,0.04,2,0.04,0.04,0,0,37,0.79,13.51,5.405,0.06,0.57,40.74,0.13,16.67,0.45,47.62,0.15,0.53,44,1.98,38.71,0.3,0.32,0.21,20.87,0.15,0.32,37.17,84.49,10.3,67.56,6.38,96.33,14.7,90.59,32.28,89.58,4.36,52.2,19.57,35.56,0.08,0.91,0.02,0.02,0.17,62.5,0.13,6.06,68.07,1.17,49.09,0.66,48.39,0.53,0.26,5.15,71.49,0,NA,0,NA,0,0,0,0,NA,NA,1.77,NA,NA,1.02,0.02,100,2.11,0,0,"CDM",0.2332,1,0.10625,31.404933,2.787474,3.681735,0.106729,0.232218,0.574353,17.54349192307
