"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Long_Pass_Ability","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation","First_Name","Last_Name","Player_url","Player_Apps","Player_Tackles","Player_Mins","Player_Inter","Player_Fouls","Player_Offsides","Player_Clear","Player_Drb","Player_Blocks","Player_OwnG","Player_Team","Player_Team_url","Player_Age","Player_Position","Defensive_Ratio"
"1","A. Clayton","Doncaster Rovers","Doncaster Rovers","English League Two","2022/23","RDMF","RCMF","LDMF",33,500000,"2023-06-30",7,720,0,0.05,1,1.37,10.88,56.32,"England","England","right",175,75,"no",9.38,6.25,58,0.63,0,0.13,0.2,0.38,5.63,8.88,1.25,2,0.25,0,0,1.13,0,0,0,0.01,0,0,4,0.5,0,0,0.13,0.75,33.33,0.38,33.33,0.38,33.33,0,1,62.5,2,62.5,0.13,1.25,0.13,33.63,0.13,1.13,50.25,79.35,21.5,64.53,2.88,100,21.5,90.7,38.88,88.1,10.75,51.16,22.65,37.29,0.17,1.62,0.25,0.25,1,25,0.38,14,66.07,4.5,38.89,3.63,37.93,1.38,0.25,11.38,71.43,0,NA,0,NA,0,0,0,0,NA,NA,0.5,NA,NA,2.5,0.38,0,4.75,0,0,"CDM2",0.625,0,0.25,39.873375,3.625,8.128734,1907.7564,0,0.249975,1.75005,55.34439552485,"A","Clayton","https://www.whoscored.com/Players/70140/Show/Adam-Clayton","7",2.3,630,2.3,1.3,0,1.3,1.1,0.4,0,"Doncaster,","https://www.whoscored.com/Teams/910/Show/England-Doncaster",33,", M(C)",1.91666666666667
"2","R. Williams","Doncaster Rovers","Doncaster Rovers","English League Two","2022/23","RCB",NA,NA,24,0,"2023-06-30",7,720,1,0.25,0,0.07,9.63,63.64,"England","England, Grenada","right",188,80,"no",8.63,3.13,64,3.5,57.14,0,0,1.13,6.63,10.46,0.13,2,0.25,0,0,0.13,0.13,1,0.13,0.03,1,0.13,1,0.13,100,100,0,0.25,0,0,0,0.25,0,0,0.13,0,0.63,40,0.5,0.63,0,18.63,0,0.75,30.63,85.71,12.63,77.23,1.38,100,13.62,92.66,26.63,90.14,3.75,60,21.15,33.75,0.01,0.13,0,0,0,0,0,3.25,65.38,0.13,0,0.25,50,0.13,0,4.88,66.67,0,NA,0,NA,0,0,0,0,NA,NA,1.25,NA,NA,0,0,0,0,0,0,"CB",0,4.33333333333333,0,26.252973,2.0032,3.253496,2025,0.13,0,0,1.71445087,"R","Williams","https://www.whoscored.com/Players/313399/Show/Ro-Shaun-Williams","7",0.4,630,1.7,0.3,0.7,4.4,0.3,1.6,0,"Doncaster,","https://www.whoscored.com/Teams/910/Show/England-Doncaster",24,", D(CR)",3.5
"3","G. Miller","Doncaster Rovers","Doncaster Rovers","English League Two","2022/23","CF",NA,NA,24,100000,"",7,717,3,2.82,1,0.29,22.09,28.98,"England","England","right",178,72,"no",3.51,3.26,69.23,5.27,16.67,0,0,0.25,1.26,1.99,1.13,0,0,0,0,1.13,0.38,2,0.25,0.35,1,0.13,13,1.63,53.85,23.077,0.13,0.25,0,0,0,0.25,0,0.13,1.76,14.29,6.4,21.57,2.64,0.63,0.25,4.27,1.13,0.88,4.77,65.79,0.5,25,1.51,75,1.38,63.64,4.14,72.73,0.38,33.33,19.15,18.08,0.04,0.38,0,0,0.13,0,0.38,0.13,100,0.25,50,0.13,0,0.38,0.13,0.38,33.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,1,100,"CF",0.251504,1.08571428571429,0,3.138183,2.256898,0.126654,602.6064,0.877755,0,0.125,15.52746501,"G","Miller","https://www.whoscored.com/Players/345775/Show/George-Miller","7",0.1,630,0.1,1.3,0,0.3,0.3,0.3,0,"Doncaster,","https://www.whoscored.com/Teams/910/Show/England-Doncaster",24,", FW",0.125
"4","R. Crichlow","Bradford City","Bradford City","English League Two","2022/23","LCB",NA,NA,23,300000,"2023-06-30",7,705,0,0.37,0,0,14.17,58.56,"England","England","left",184,74,"yes",6.13,3.19,68,5.49,67.44,0.38,0.61,0.13,3.57,5.68,0.77,1,0.13,0,0,0,0,0,0,0.05,0,0,2,0.26,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0,1.15,22.22,0.64,0.26,0,36.89,0.26,0.38,56.68,91.44,21.32,83.23,2.17,82.35,27.7,98.16,51.57,94.31,4.98,64.1,20.18,39.12,0,0,0,0.26,0,0,0,5.11,75,0.26,50,0.26,50,0.13,0,8.68,70.59,0,NA,0,NA,0,0,0,0,NA,NA,1.15,NA,NA,0,0,0,0,0,0,"CB",0,0,0,51.828192,2.1692,6.127212,2507.592,0,0,0.13,2.38788238,"R","Crichlow","https://www.whoscored.com/Players/388777/Show/Romoney-Crichlow","7",0.3,630,0.9,0.9,0.6,4.6,0.4,0.3,0,"Bradford,","https://www.whoscored.com/Teams/22/Show/England-Bradford",23,", D(C)",0.923076923076923
"5","L. Ridehalgh","Bradford City","Bradford City","English League Two","2022/23","LB",NA,NA,31,75000,"2023-06-30",7,705,0,0.01,0,0.61,21.7,54.12,"England","England","left",178,72,"no",7.28,8.04,58.73,4.72,51.35,0.13,0.2,0.26,2.43,3.85,1.02,1,0.13,0,0,2.3,0,0,0,0,0,0,1,0.13,0,0,0,4.21,33.33,4.21,33.33,0,0,0.64,1.4,63.64,4.72,48.65,0.51,1.15,0.64,34.47,1.4,1.15,44.68,78.86,16.85,71.97,7.02,100,13.66,74.77,33.45,89.31,7.28,56.14,21.35,38.08,0.08,0.64,0,0,0.26,0,0.13,6.26,75.51,4.34,41.18,1.02,37.5,0.77,1.4,13.4,78.1,0,NA,0,NA,0,0,0,0,NA,NA,0.38,NA,NA,0.13,0,0,0,0,0,"FB",0.89096,NA,0,35.234648,4.721892,10.4654,2137.8112,0,1.403193,1.787212,34.222836528442,"L","Ridehalgh","https://www.whoscored.com/Players/80743/Show/Liam-Ridehalgh","7",2.9,630,0.6,1.1,0.3,1.4,0.3,0.6,0,"Bradford,","https://www.whoscored.com/Teams/22/Show/England-Bradford",31,", D(CL),M(L)",2.5
"6","R. Smallwood","Bradford City","Bradford City","English League Two","2022/23","LDMF","RDMF",NA,31,500000,"2024-06-30",7,705,1,0.2,0,0.65,10.72,48.81,"England","England","right",180,72,"no",6.38,4.34,61.76,1.91,60,1.02,1.62,0.51,2.68,4.26,0.77,1,0.13,0,0,1.15,0.13,1,0.13,0.03,0,0,5,0.64,20,20,0,1.02,87.5,0.26,100,0.64,80,0.13,0.13,100,1.02,25,0.51,1.15,0,39.57,0.13,0.51,55.53,87.13,19.4,74.34,8.04,95.24,21.19,94.58,45.57,92.16,9.06,61.97,20.37,38.24,0.08,1.53,0.13,0,0,0,0.38,12,75.53,2.43,63.16,1.28,30,0.64,0.77,11.23,85.23,0,NA,0,NA,0,0,0,0,NA,NA,0.77,NA,NA,1.15,0.13,0,2.94,0,0,"CDM2",0.13,4.33333333333333,0,48.383289,2.680384,9.571329,2369.7328,0.128,0.8925,1.534788,38.971898081904,"R","Smallwood","https://www.whoscored.com/Players/90467/Show/Richard-Smallwood","7",1.9,630,1.3,1,0,0,1,0.7,0,"Bradford,","https://www.whoscored.com/Teams/22/Show/England-Bradford",31,", DMC",1.6
"7","M. Platt","Bradford City","Bradford City","English League Two","2022/23","RCB",NA,NA,24,100000,"2024-06-30",7,705,0,0.91,0,0.38,12.77,70,"England","England","right",183,67,"no",9.32,4.72,81.08,4.6,69.44,0,0,0.89,5.49,8.72,0.38,1,0.13,0,0,0.38,0,0,0,0.12,0,0,7,0.89,42.86,0,0,0.13,0,0.13,0,0,0,0,0.13,0,1.28,20,1.02,0.26,0,39.45,0.13,0.64,55.66,88.3,23.87,80.21,1.53,91.67,24.89,94.87,48.13,93.9,7.4,53.45,22.57,41.68,0.05,0.38,0,0,0.13,0,0.13,8.04,69.84,1.15,44.44,0.77,50,0.51,0,10.85,76.47,0,NA,0,NA,0,0,0,0,NA,NA,1.15,NA,NA,0,0,0,0,0,0,"CB",0,0,0,49.14778,3.826976,8.296995,2227.796,0.381454,0,0.51106,14.33827558548,"M","Platt","https://www.whoscored.com/Players/323743/Show/Matthew-Platt","7",0.9,630,1.1,0.4,0.4,5.1,0.1,0.9,0,"Bradford,","https://www.whoscored.com/Teams/22/Show/England-Bradford",24,", D(C)",4
"8","S. Foley","Barrow","Barrow","English League Two","2022/23","RDMF","LDMF","RCMF",35,250000,"2023-06-30",7,705,0,0.93,0,0.28,20.17,48.73,"England","England, Republic of Ireland","right",183,74,"no",7.28,6.51,54.9,4.21,54.55,0.26,0.37,0.13,3.45,4.94,1.28,3,0.38,0,0,1.02,0,0,0,0.12,0,0,7,0.89,28.57,0,0,0.38,66.67,0.13,0,0.26,100,0,1.15,33.33,4.09,43.75,1.02,0.89,0.64,12.77,0.38,1.91,30.77,76.35,13.02,60.78,4.34,97.06,8.55,89.55,26.3,81.55,4.09,43.75,19.33,39.58,0.04,0.64,0,0,0.13,100,0,8.94,64.29,1.02,50,0.51,25,0.51,0.26,7.4,81.03,0,NA,0,NA,0,0,0,0,NA,NA,0.64,NA,NA,0.13,0,0,0.13,0,0,"CDM2",0.383295,0,0.13,23.492895,3.57399,5.99622,1731.625,0.254273,0.253346,0.51,10.705075063812,"S","Foley","https://www.whoscored.com/Players/22019/Show/Sam-Foley","7",2.6,630,1,1.4,0.1,0.9,0.4,0.1,0,"Barrow,","https://www.whoscored.com/Teams/1383/Show/England-Barrow",35,", D(C),DMC",2
"9","N. Canavan","Barrow","Barrow","English League Two","2022/23","LCB",NA,NA,31,125000,"2023-06-30",7,705,0,0.25,0,0,13.4,61.9,"England","England, Republic of Ireland","left",191,76,"no",5.49,2.55,70,7.4,58.62,0.26,0.37,0.26,3.45,4.94,0.26,0,0,0,0,0,0,0,0,0.03,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.51,50,0.38,0.13,0,10.6,0.26,0.51,21.57,72.78,12.77,59,2.3,94.44,5.11,97.5,16.09,83.33,5.49,41.86,23.2,38.67,0,0,0,0,0,0,0,3.96,38.71,0.51,0,0.38,0,0.13,0,5.87,50,0,NA,0,NA,0,0,0,0,NA,NA,1.79,NA,NA,0,0,0,0,0,0,"CB",0,0,0,15.698646,1.785,2.935,1618.7262,0,0,0,1.97027492,"N","Canavan","https://www.whoscored.com/Players/134397/Show/Niall-Canavan","7",0.4,630,0.7,0.3,0.6,4.4,0.1,0.4,0,"Barrow,","https://www.whoscored.com/Teams/1383/Show/England-Barrow",31,", D(C)",2.75
"10","T. Warren","Barrow","Barrow","English League Two","2022/23","RB","LB",NA,23,0,"2023-06-30",7,705,1,0.16,0,0.25,24.64,51.3,"England","England","right",181,0,"no",11.62,8.43,57.58,6.89,57.41,1.15,1.65,0.26,5.62,8.05,0.89,2,0.26,0,0,1.02,0.13,1,0.13,0.02,1,0.13,3,0.38,66.67,33.333,0,0.89,28.57,0.13,0,0.77,33.33,0.38,1.53,33.33,4.21,30.3,0.51,0.89,0.38,14.43,0.51,1.66,24.38,64.92,15.32,55.83,2.94,86.96,3.06,70.83,18.77,76.19,4.72,27.03,20.61,39.78,0.03,0.26,0,0.13,0.13,0,0.26,6.13,45.83,1.53,50,0.38,33.33,0.64,0.26,7.28,63.16,0,NA,0,NA,0,0,0,0,NA,NA,0.77,NA,NA,0,0,0,0,0,0,"FB",0.509949,6.5,0,15.827496,4.853994,4.598048,1075.2534,0.253346,0.254273,0.765,18.969324499106,"T","Warren","https://www.whoscored.com/Players/427627/Show/Tyrell-Warren","7",2.3,630,1,1,0.3,2.7,0.9,0.3,0,"Barrow,","https://www.whoscored.com/Teams/1383/Show/England-Barrow",23,", D(R)",1.73684210526316
