"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"1","R. Poole","Lincoln City","Lincoln City","England League One","2022/23","LCB","RCB",NA,24,400000,"",5,526,0,0.32,0,0.24,15.4,52.22,"Wales","Wales","right",184,74,"no",8.9,4.96,65.52,5.13,50,0,0,0.86,5.65,6.19,0.51,0,0,0,0,0.17,0,0,0,0.05,0,0,2,0.34,0,0,0,0.17,0,0.17,0,0,0,0,0.51,33.33,1.71,50,0.68,0.17,0,20.87,0.34,0.68,35.42,78.26,15.91,61.29,3.59,85.71,12.49,93.15,28.75,87.5,6.67,38.46,24.38,41.99,0.04,0.17,0.17,0,0,0,0,3.94,34.78,0.17,0,0.34,0,0.17,0,6.67,46.15,0,NA,0,NA,0,0,0,0,NA,NA,2.05,NA,NA,0,0,0,0,0,0,"CB",0.169983,0,0,27.719692,3.249792,3.078205,0,0,0,3.43574704
"2","M. Virtue","Lincoln City","Lincoln City","England League One","2022/23","RCMF",NA,NA,25,200000,"30/06/2023",5,526,0,0.41,0,0,16.77,46.94,"England","England","right",175,66,"yes",8.56,6.5,57.89,4.28,48,0,0,0.17,4.79,5.25,1.03,2,0.34,0,0,0.51,0,0,0,0.07,0,0,2,0.34,50,0,0,0.86,20,0,0,0.86,20,0.17,0.51,33.33,2.91,29.41,0.51,0.17,0.17,13,0.17,0.34,28.06,64.02,13,43.42,3.59,95.24,6.5,73.68,22.07,76.74,5.13,16.67,22.03,40.51,0,0,0.17,0,0.17,0,0,5.13,23.33,2.05,25,0.86,20,0.17,0.17,5.13,43.33,0,NA,0,NA,0,0,0,0,NA,NA,1.37,NA,NA,0,0,0,0,0,0,"CM2",0.169983,0,0,17.964012,3.76285,2.222829,0.17,0.172,0.5125,9.431793149
"3","P. O'Connor","Lincoln City","Lincoln City","England League One","2022/23","RCB","CB",NA,25,150000,"",5,526,0,0.28,1,0,19.85,64.66,"Republic of Ireland","Republic of Ireland","right",191,77,"no",11.46,8.21,66.67,7.02,63.41,0.68,0.75,1.2,5.3,5.81,0.68,0,0,0,0,0.17,0,0,0,0.05,0,0,1,0.17,0,0,0.17,0,0,0,0,0,0,0,0.17,100,1.03,33.33,0.17,0,0,16.77,1.03,1.03,29.77,72.99,13.69,50,2.74,100,11.98,94.29,22.59,84.09,7.19,38.1,24.87,43.55,0,0,0,0,0,0,0,5.48,46.88,0.86,20,0.34,0,0.17,0,7.19,52.38,0,NA,0,NA,0,0,0,0,NA,NA,0.86,NA,NA,0,0,0,0,0,0,"CB",0.17,0,0,21.729123,5.473607,3.766122,0,0,0.172,3.138612336
"4","T. Eyoma","Lincoln City","Lincoln City","England League One","2022/23","RWB","RB",NA,22,500000,"30/06/2023",5,526,0,0.06,0,0.17,19.68,49.57,"England","England, Nigeria","right",183,76,"no",10.61,6.67,69.23,6.16,38.89,0.17,0.19,0.34,5.82,6.38,0.68,0,0,0,0,0.86,0,0,0,0.01,0,0,1,0.17,0,0,0,1.03,33.33,0,0,1.03,33.33,0,1.03,50,3.42,45,0.17,0.68,0.34,13,1.03,0.51,20.53,60.83,9.58,39.29,3.76,86.36,4.96,75.86,13.86,67.9,5.82,47.06,24.35,43.5,0.03,0.34,0,0.17,0.34,0,0.17,3.59,42.86,1.54,44.44,0.51,33.33,0.51,0.34,6.16,55.56,0,NA,0,NA,0,0,0,0,NA,NA,0.17,NA,NA,0,0,0,0,0,0,"WB",0.515,0,0,12.488399,4.617641,3.422496,0,0.343299,0.684376,16.565722816086
"5","Ciaron Brown","Oxford United","Oxford United","England League One","2022/23","LB",NA,NA,24,300000,"30/06/2024",5,510,0,0.21,0,0.23,27.71,54.78,"England","England, Northern Ireland","left",185,76,"no",11.29,9,54.9,9.35,64.15,0.35,0.54,0.71,6,9.11,1.24,0,0,0,0,1.06,0,0,0,0.04,0,0,3,0.53,0,0,0,1.06,66.67,1.06,66.67,0,0,0,1.41,25,4.24,37.5,1.24,0.71,0.53,12.53,0.71,0.71,24.53,72.66,10.06,66.67,4.24,95.83,6,73.53,20.65,76.92,2.82,43.75,20.64,33.02,0.04,1.06,0.18,0,0,0,0.18,4.76,48.15,0.71,75,0.35,50,0,0.53,7.94,73.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"FB",0.3525,0,0,17.823498,4.941,5.822402,0,0.706702,0.5325,17.105745719844
"6","E. Moore","Oxford United","Oxford United","England League One","2022/23","RCB",NA,NA,25,400000,"",5,510,0,0,1,0.45,19.41,68.18,"England","England","right",196,92,"no",9.71,4.59,80.77,9.71,70.91,0,0,0.88,6,9.11,0.71,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.18,0,1.24,57.14,1.06,0.18,0.18,18.18,0,0.71,37.24,84.83,17.47,74.75,1.94,90.91,15.71,95.51,31.41,87.64,5.82,69.7,23.24,40.06,0.08,0.35,0,0.18,0,0,0.18,4.24,66.67,0.53,33.33,0.88,60,0.71,0,7.24,75.61,0,NA,0,NA,0,0,0,0,NA,NA,1.41,NA,NA,0,0,0,0,0,0,"CB",0,NA,0,31.590692,3.707343,5.474164,0,0,0.176649,15.091227947242
"7","P. Digby","Cambridge United","Cambridge United","England League One","2022/23","RCMF","RDMF","DMF",27,300000,"30/06/2023",5,508,0,0.01,0,0.01,18.25,56.31,"England","England","right",193,77,"no",12.93,8.68,65.31,4.78,55.56,0.18,0.24,0.53,7.09,9.6,0.71,1,0.18,0,0,0.35,0,0,0,0,0,0,2,0.35,0,0,0,1.24,14.29,0,0,1.06,16.67,0.18,0.71,25,2.13,41.67,0.35,0.18,0.18,18.43,0,0.35,34.9,76.65,14.53,62.2,4.07,91.3,12.05,89.71,27.81,83.44,5.85,57.58,20,33.12,0,0.18,0,0,0,0,0,7.62,72.09,2.3,46.15,0.35,50,0.71,0.18,7.44,69.05,0,NA,0,NA,0,0,0,0,NA,NA,0.89,NA,NA,0,0,0,0,0,0,"CM2",0.1775,NA,0,26.75085,5.668908,5.13732,0,0.177196,1.06145,11.204619367612
"8","L. Jones","Cambridge United","Cambridge United","England League One","2022/23","RCB","LCB",NA,27,200000,"30/06/2023",5,508,1,0.34,0,0.02,14.53,58.54,"England","England, Wales","right",191,78,"no",8.68,3.01,58.82,7.44,69.05,0,0,1.06,6.91,9.36,0.35,0,0,0,0,1.24,0.18,1,0.18,0.06,0,0,2,0.35,50,50,0,0.35,0,0.35,0,0,0,0.18,1.24,71.43,2.66,33.33,0.53,2.13,0.71,16.12,0.35,0.35,30.12,80.59,12.4,71.43,3.37,89.47,10.98,87.1,25.33,86.71,4.43,52,21.85,39.55,0,0.18,0,0,0.18,100,0.18,4.96,71.43,0.71,25,0.18,0,0.18,0,7.44,57.14,0,NA,0,NA,0,0,0,0,NA,NA,1.95,NA,NA,0,0,0,0,0,0,"CB",0.885732,3,0.18,24.273708,1.770482,4.251216,0.175,0,0.1775,9.537921235
"9","G. Williams","Cambridge United","Cambridge United","England League One","2022/23","LB","RCB","RB",29,400000,"30/06/2023",5,508,0,0.07,0,0.03,14.17,51.25,"England","England","right",178,70,"no",9.39,4.07,69.57,6.02,58.82,0,0,0.35,6.56,8.88,0.18,0,0,0,0,1.59,0,0,0,0.01,0,0,3,0.53,0,0,0,2.83,37.5,0.71,50,2.13,33.33,0.18,1.06,16.67,2.13,16.67,0.35,0.71,0.35,24.09,1.77,0.35,36.85,74.52,16.65,70.21,4.61,84.62,12.58,74.65,24.98,83.69,9.21,59.62,22.43,38.93,0.01,0.71,0,0,0.35,100,0.53,7.26,73.17,4.25,50,0.71,75,1.06,1.06,12.22,75.36,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"FB",0.176702,0,0.35,27.46062,2.831499,9.208992,0,1.06125,2.125,46.2265170925
"10","J. Brophy","Cambridge United","Cambridge United","England League One","2022/23","LWB","LAMF","LW",28,400000,"30/06/2024",5,508,0,0.03,0,0.24,15.94,45.56,"England","England","left",180,72,"no",9.04,6.2,60,1.77,20,0.18,0.24,0.18,5.14,6.96,0.71,1,0.18,0,0,3.37,0,0,0,0.01,0,0,2,0.35,0,0,0,1.77,60,1.59,66.67,0.18,0,0.35,3.37,63.16,6.02,44.12,1.06,4.78,0.89,19.13,0.35,0.71,32.24,82.42,8.86,70,6.38,97.22,12.76,83.33,26.57,86.67,4.07,65.22,18.34,31.32,0.04,0.71,0,0,0.53,33.33,0.35,3.37,63.16,2.13,41.67,0.89,20,0.35,0.89,6.02,82.35,0,NA,0,NA,0,0,0,0,NA,NA,0.18,NA,NA,0,0,0,0,0,0,"WB",2.128492,0,0.176649,26.572208,3.72,4.95747,0,1.062,0.887571,31.388107118766
